Country Name,Country Code,Series Name,Series Code,Year,Value
"Congo, Dem. Rep.",COD,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,97.9209979209979
"Congo, Dem. Rep.",COD,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
"Congo, Dem. Rep.",COD,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,2.07900207900208
"Congo, Dem. Rep.",COD,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
"Congo, Rep.",COG,Coal,EG.ELC.COAL.ZS,1973.0,0.0
"Congo, Rep.",COG,Natural Gas,EG.ELC.NGAS.ZS,1973.0,8.33333333333333
"Congo, Rep.",COG,Oil,EG.ELC.PETR.ZS,1973.0,39.5833333333333
"Congo, Rep.",COG,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,52.0833333333333
"Congo, Rep.",COG,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
"Congo, Rep.",COG,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,47.9166666666667
"Congo, Rep.",COG,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Costa Rica,CRI,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Costa Rica,CRI,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Costa Rica,CRI,Oil,EG.ELC.PETR.ZS,1973.0,15.5159613956941
Costa Rica,CRI,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,83.9643652561247
Costa Rica,CRI,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Costa Rica,CRI,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,15.5159613956941
Costa Rica,CRI,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.519673348181143
Cote d'Ivoire,CIV,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Cote d'Ivoire,CIV,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Cote d'Ivoire,CIV,Oil,EG.ELC.PETR.ZS,1973.0,78.894472361809
Cote d'Ivoire,CIV,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,21.105527638191
Cote d'Ivoire,CIV,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Cote d'Ivoire,CIV,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,78.894472361809
Cote d'Ivoire,CIV,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Cuba,CUB,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Cuba,CUB,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Cuba,CUB,Oil,EG.ELC.PETR.ZS,1973.0,86.3174491941135
